T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,GWETPROF,NDVI_raw
19.92,24.98,16.68,15.21,79.47,19.85,0.67,0.40376875
20.58,27.38,16.6,0.39,76.79,18.79,0.68,0.40107499999999996
20.12,26.72,16.17,1.83,75.02,20.22,0.68,0.39838124999999996
18.98,23.35,15.83,5.58,83.52,17.01,0.68,0.39568749999999997
19.86,25.58,16.19,3.63,80.46,20.9,0.68,0.39299375
20.28,26.44,16.14,4.33,77.82,18.96,0.69,0.3903
20.34,25.88,16.16,0.47,76.94,24.21,0.69,0.397375
19.29,23.48,16.32,51.65,89.89,20.56,0.72,0.40445
19.73,25.37,16.08,3.14,82.82,17.76,0.74,0.411525
20.22,26.68,15.87,0.2,78.93,24.5,0.74,0.41859999999999997
19.71,24.38,16.31,1.86,82.74,21.4,0.73,0.42567499999999997
20.65,26.77,16.45,1.99,78.68,19.56,0.73,0.43274999999999997
20.13,25.56,17.4,4.06,84.44,18.13,0.72,0.43982499999999997
19.25,23.1,17.02,8.73,86.98,19.73,0.73,0.44689999999999996
19.05,23.02,16.39,1.31,86.37,19.61,0.73,0.45397499999999996
19.93,25.65,16.45,0.77,80.33,22.53,0.73,0.46104999999999996
20.01,26.28,15.7,1.55,83.04,21.4,0.72,0.46812499999999996
19.85,25.73,16.44,3.65,81.18,22.31,0.72,0.47519999999999996
19.07,24.79,14.29,2.08,82.0,18.13,0.72,0.48227499999999995
19.71,25.46,15.45,4.65,83.54,20.09,0.72,0.48934999999999995
19.64,24.32,16.43,3.74,84.26,16.14,0.72,0.49642499999999995
19.78,24.25,16.72,1.73,84.71,20.25,0.72,0.5035
20.3,25.45,15.92,5.43,83.53,18.14,0.72,0.5069874999999999
20.01,24.22,17.14,11.59,84.29,18.4,0.73,0.510475
18.56,21.28,16.92,19.89,91.07,16.71,0.75,0.5139625
18.44,21.57,16.21,15.01,88.73,13.36,0.77,0.51745
19.51,24.83,15.13,5.21,84.15,19.97,0.78,0.5209374999999999
18.92,23.05,16.18,7.96,86.83,15.17,0.78,0.5244249999999999
19.22,24.72,15.1,2.63,84.13,19.16,0.78,0.5279125
20.17,24.76,16.6,9.15,84.34,19.15,0.79,0.5314
19.29,22.4,17.24,13.34,88.67,15.4,0.79,0.5348875
20.03,25.18,15.81,7.96,85.38,17.27,0.8,0.538375
19.72,23.58,17.41,2.49,87.89,17.26,0.8,0.5418625
19.01,22.46,16.9,1.86,86.77,13.34,0.8,0.54535
19.06,24.37,15.97,9.63,87.0,19.47,0.8,0.5488375
18.8,23.08,15.76,3.49,88.01,16.35,0.81,0.552325
19.06,24.0,15.44,1.81,85.55,16.28,0.81,0.5558125
18.8,24.11,14.37,0.85,83.62,15.42,0.8,0.5593
18.22,22.81,14.47,1.23,85.88,16.61,0.8,0.5541
18.28,24.28,13.76,1.21,83.4,14.81,0.79,0.5489
19.0,25.33,13.99,0.36,81.87,23.07,0.79,0.5437000000000001
18.66,25.92,13.06,0.0,76.67,23.47,0.78,0.5385
18.59,25.96,12.71,0.02,76.45,24.08,0.77,0.5333
19.32,25.68,13.48,2.92,81.24,21.14,0.76,0.5281
19.87,25.88,14.95,0.44,80.89,19.57,0.76,0.5229
19.8,25.85,14.48,1.14,82.23,20.57,0.75,0.5177
20.09,25.95,15.86,1.45,82.04,20.56,0.75,0.5125000000000001
20.09,25.99,14.51,0.42,78.04,20.92,0.74,0.5073
20.16,26.06,14.4,0.27,79.25,20.18,0.73,0.5021
20.15,25.59,15.78,0.11,79.41,18.98,0.73,0.4969
19.39,24.4,15.52,0.3,80.89,18.41,0.72,0.4917
19.61,25.36,15.58,2.16,82.33,19.14,0.72,0.48650000000000004
19.16,25.11,14.92,1.96,82.99,15.44,0.72,0.4813
19.26,25.7,14.07,0.54,77.36,19.98,0.71,0.4761
19.53,25.37,14.87,4.52,81.74,13.68,0.71,0.4703
20.07,26.07,15.96,1.27,79.46,19.88,0.71,0.4645
20.11,26.85,14.61,0.06,75.31,21.2,0.71,0.4587
20.31,27.44,14.7,0.22,74.77,17.72,0.7,0.4529
20.26,27.25,14.32,0.2,74.59,17.33,0.7,0.4471
20.15,27.51,13.69,0.34,74.52,19.4,0.69,0.4413
19.86,27.69,12.65,0.11,69.66,19.43,0.68,0.4355
20.11,28.43,12.93,0.02,67.84,20.85,0.68,0.42969999999999997
20.61,27.53,15.02,0.27,73.89,18.7,0.67,0.4239
20.19,25.1,16.4,2.24,75.25,19.94,0.67,0.41809999999999997
20.53,26.4,15.95,4.48,74.97,20.57,0.68,0.4123
20.27,27.4,15.52,0.32,73.99,17.27,0.67,0.4065
19.79,27.07,14.39,0.5,73.02,13.67,0.67,0.4007
19.86,26.89,14.18,0.75,73.55,18.11,0.67,0.3949
19.54,26.27,14.48,0.83,76.06,15.83,0.66,0.3891
18.9,25.38,14.52,1.13,73.87,9.22,0.66,0.3833
18.85,26.15,13.66,1.14,74.19,17.6,0.66,0.38814374999999995
18.47,25.57,12.8,0.15,70.68,19.12,0.66,0.3929875
18.46,25.95,11.82,0.04,69.13,19.55,0.65,0.39783124999999997
18.89,28.01,11.17,0.0,63.38,22.18,0.65,0.402675
19.6,27.87,11.95,0.03,63.79,21.84,0.65,0.40751875
19.39,26.88,13.06,0.23,67.12,20.35,0.64,0.41236249999999997
18.98,25.43,14.45,1.02,70.11,18.82,0.64,0.41720625
19.26,26.83,12.49,0.03,66.47,20.38,0.64,0.42205
19.69,28.32,12.65,0.04,61.26,21.36,0.63,0.42689374999999996
19.06,26.41,13.9,0.84,74.62,19.47,0.63,0.4317375
16.95,22.79,12.78,1.51,79.15,12.05,0.63,0.43658125
18.52,26.68,12.79,0.35,70.37,16.07,0.63,0.44142499999999996
18.82,26.75,12.94,0.22,69.74,18.79,0.63,0.44626875
18.53,27.02,11.88,0.31,67.45,19.84,0.63,0.45111249999999997
18.08,26.39,11.76,0.03,65.12,18.32,0.62,0.45595624999999995
17.08,26.03,9.64,0.04,64.82,22.24,0.62,0.4608
17.6,25.28,10.46,0.12,66.19,19.04,0.62,0.45945625
18.2,25.66,12.99,0.28,71.82,13.37,0.62,0.4581125
18.53,26.58,12.14,0.14,67.0,17.97,0.61,0.45676875
19.37,28.16,12.53,0.05,63.48,20.27,0.61,0.45542499999999997
19.32,28.08,13.08,0.16,63.18,16.64,0.61,0.45408125
19.38,28.39,12.98,0.11,61.91,20.84,0.61,0.4527375
20.37,29.09,13.72,0.02,60.11,20.0,0.6,0.45139375
19.91,27.17,13.8,0.28,65.54,20.25,0.6,0.45005
19.47,26.95,14.17,0.33,68.34,20.32,0.6,0.44870625000000003
20.17,28.42,13.83,0.12,62.49,18.05,0.6,0.4473625
18.56,23.17,15.05,1.16,73.74,15.07,0.6,0.44601875
19.53,25.82,15.38,1.54,74.71,13.16,0.6,0.44467500000000004
19.38,25.51,14.5,5.8,76.15,15.09,0.6,0.44333125
18.74,23.38,15.39,5.45,79.79,14.76,0.61,0.44198750000000003
19.23,27.2,13.67,0.33,64.35,12.43,0.61,0.44064375
18.85,27.63,12.67,0.06,63.99,20.13,0.61,0.4393
18.12,25.89,10.32,0.77,71.26,21.29,0.61,0.44105
18.6,26.35,12.96,1.51,69.61,13.53,0.61,0.4428
18.78,27.78,10.79,0.29,61.04,16.25,0.61,0.44455
19.33,27.69,11.51,0.06,65.87,20.46,0.61,0.44630000000000003
18.54,23.78,15.51,0.55,77.34,12.01,0.6,0.44805
18.51,24.88,14.69,0.6,75.42,13.04,0.6,0.44980000000000003
18.57,25.59,13.45,0.24,71.27,8.95,0.6,0.45155
19.29,26.33,14.49,0.15,70.3,14.72,0.6,0.45330000000000004
19.4,26.34,14.99,0.5,70.37,13.85,0.6,0.45505
19.89,27.67,13.45,0.45,69.42,17.63,0.6,0.4568
20.21,28.34,13.63,0.28,61.73,16.9,0.6,0.45855
19.24,29.4,10.4,0.02,51.82,21.34,0.6,0.4603
20.64,28.91,13.62,0.25,62.77,17.83,0.6,0.46205
20.43,26.53,14.86,1.5,68.86,20.68,0.6,0.4638
20.13,25.67,15.24,2.25,67.34,18.04,0.6,0.46555
19.64,27.39,13.74,0.33,63.12,16.03,0.6,0.4673
20.27,29.03,13.45,0.17,62.18,16.63,0.6,0.44911875
18.67,23.39,14.75,3.79,73.93,13.43,0.6,0.4309375
18.74,24.75,14.6,3.17,73.38,13.25,0.61,0.41275625
18.25,24.33,12.7,0.11,70.89,15.58,0.61,0.394575
18.69,26.86,12.67,0.16,64.94,20.22,0.6,0.37639374999999997
19.29,28.25,11.98,0.08,61.56,15.65,0.6,0.3582125
19.64,27.45,13.86,0.1,63.33,17.39,0.6,0.34003125
19.81,29.28,13.03,0.08,58.66,20.62,0.6,0.32184999999999997
19.89,29.19,12.39,0.06,55.82,24.55,0.6,0.30366875
19.82,28.43,12.51,0.02,54.92,20.06,0.6,0.2854875
20.12,29.38,12.13,0.23,55.31,22.28,0.6,0.26730624999999997
20.35,28.25,14.51,1.07,67.47,13.73,0.6,0.24912499999999999
19.99,28.12,13.86,0.55,65.59,13.34,0.6,0.23094375
20.09,28.13,14.06,0.14,62.37,20.02,0.6,0.21276250000000002
20.71,30.1,14.04,0.12,61.39,16.48,0.6,0.19458124999999998
20.77,29.58,13.81,0.33,60.6,15.05,0.59,0.1764
20.86,29.52,13.82,0.08,56.95,19.04,0.59,0.18870625
21.32,29.38,14.31,0.1,59.41,21.53,0.59,0.2010125
21.03,28.81,15.29,0.3,62.96,20.17,0.59,0.21331875
20.94,28.71,14.77,0.22,60.03,15.32,0.59,0.22562500000000002
20.99,29.63,14.16,0.03,52.01,22.37,0.59,0.23793125
20.31,29.04,13.68,0.18,58.44,16.32,0.59,0.2502375
20.75,28.97,14.02,0.17,56.72,19.55,0.59,0.26254375
19.78,26.15,14.18,0.21,61.52,15.65,0.59,0.27485000000000004
19.48,26.37,14.77,0.28,61.67,12.29,0.59,0.28715625
19.54,27.35,13.66,0.42,61.99,14.88,0.59,0.2994625
19.85,27.64,14.01,0.25,62.09,14.89,0.59,0.31176875000000004
19.43,26.66,13.62,0.88,62.71,12.54,0.59,0.324075
19.26,27.1,13.88,0.6,63.31,12.83,0.59,0.33638125
20.14,28.49,12.94,0.17,60.27,18.88,0.59,0.34868750000000004
20.96,28.89,14.87,0.82,66.23,18.81,0.59,0.36099375
20.9,29.08,14.15,0.58,67.03,22.61,0.59,0.3733
21.52,30.88,14.85,0.19,57.85,24.99,0.59,0.37672500000000003
21.27,30.66,14.21,0.18,55.93,24.07,0.59,0.38015
20.38,29.69,13.53,0.24,59.79,22.7,0.59,0.383575
20.83,28.84,14.48,0.4,59.33,15.06,0.59,0.387
19.96,27.6,14.26,0.48,63.57,16.39,0.59,0.390425
20.57,28.37,14.45,0.37,62.8,15.94,0.59,0.39385000000000003
19.44,26.95,14.38,0.89,64.48,10.55,0.59,0.397275
20.04,28.62,13.45,0.22,63.56,15.8,0.59,0.4007
20.0,27.63,13.35,0.49,63.32,15.49,0.59,0.404125
20.67,28.71,13.85,0.17,59.03,23.24,0.59,0.40754999999999997
21.51,30.7,13.95,0.27,56.25,22.13,0.59,0.410975
22.35,32.11,14.46,0.22,54.15,25.99,0.59,0.4144
22.08,31.38,14.75,0.13,53.96,25.99,0.59,0.417825
21.8,31.33,14.76,0.1,50.15,27.31,0.59,0.42125
21.63,31.42,13.95,0.22,53.12,24.18,0.59,0.42467499999999997
21.83,32.15,14.0,0.16,52.62,27.01,0.59,0.4281
20.84,30.62,13.01,0.1,48.95,28.32,0.59,0.42874999999999996
21.24,30.35,13.81,0.08,54.06,25.38,0.59,0.4294
20.94,30.07,13.71,0.06,53.51,24.6,0.59,0.43005
21.91,31.04,14.79,0.23,56.86,21.98,0.59,0.43069999999999997
22.33,31.33,15.26,0.16,55.51,24.7,0.59,0.43135
22.6,32.41,14.4,0.84,52.14,24.16,0.59,0.432
21.88,30.33,15.13,1.99,54.99,21.99,0.59,0.43265
22.21,31.78,15.1,0.2,54.41,22.98,0.59,0.4333
22.4,31.87,15.27,0.2,55.31,24.52,0.59,0.43395
21.15,28.83,14.86,0.13,55.8,17.8,0.59,0.4346
21.13,29.76,14.47,0.12,57.86,23.13,0.59,0.43524999999999997
21.3,29.98,14.42,0.17,55.75,17.5,0.59,0.4359
21.67,29.78,14.83,0.84,60.16,23.46,0.59,0.43655
22.5,30.43,15.77,0.57,60.05,22.57,0.59,0.4372
22.74,30.97,14.87,0.84,56.13,21.82,0.59,0.43785
22.21,29.64,15.75,0.13,55.86,21.03,0.59,0.4385
22.26,30.06,15.53,0.29,58.01,17.41,0.59,0.44353125
22.78,31.53,16.18,0.02,57.07,20.78,0.59,0.4485625
21.6,29.6,15.7,0.09,60.11,20.93,0.59,0.45359375
21.11,29.35,14.49,0.17,57.48,19.08,0.59,0.458625
21.46,31.06,12.49,0.09,55.16,24.3,0.59,0.46365625
21.45,29.65,14.82,0.41,60.02,17.53,0.59,0.46868750000000003
21.22,28.76,15.11,0.53,61.37,15.02,0.59,0.47371875
21.13,28.5,15.52,0.17,58.97,17.8,0.59,0.47875
21.89,29.47,15.19,0.51,56.53,22.37,0.59,0.48378125
22.13,30.68,15.25,0.35,53.7,24.53,0.59,0.4888125
21.08,29.92,14.24,0.29,56.07,25.42,0.59,0.49384375
21.09,30.69,11.95,0.25,51.01,24.03,0.59,0.498875
20.97,30.62,12.98,1.37,60.91,24.85,0.59,0.50390625
20.82,30.11,13.09,0.2,52.64,24.09,0.59,0.5089375
22.02,30.99,14.6,0.04,56.27,25.78,0.59,0.51396875
23.29,31.81,14.97,0.04,52.68,22.85,0.59,0.519
23.46,31.35,15.55,0.08,51.22,21.31,0.59,0.5086875
22.94,30.24,16.08,0.15,52.02,23.35,0.59,0.498375
21.94,27.34,17.43,0.97,62.06,18.21,0.59,0.4880625
21.14,27.23,17.25,1.75,68.56,16.79,0.59,0.47775
22.36,29.71,16.93,2.25,57.14,15.55,0.6,0.4674375
22.7,31.39,16.32,0.09,57.55,21.43,0.6,0.457125
22.54,31.62,14.94,0.0,53.29,25.1,0.59,0.4468125
22.19,31.35,14.02,0.04,50.63,26.1,0.59,0.4365
22.43,29.89,15.89,0.36,59.15,24.28,0.59,0.4261875
22.93,32.03,16.13,0.09,52.71,24.34,0.59,0.415875
23.64,32.71,16.8,0.19,56.98,24.01,0.59,0.4055625
23.74,32.34,17.49,0.15,57.99,23.58,0.59,0.39525
23.55,32.29,15.78,0.03,52.48,21.69,0.59,0.3849375
23.12,32.44,14.9,0.0,49.03,26.1,0.59,0.374625
23.31,33.21,14.81,0.01,48.96,25.99,0.59,0.3643125
23.24,32.72,15.26,0.02,48.27,26.27,0.59,0.354
22.94,31.04,17.21,0.76,60.13,22.14,0.59,0.36300625
22.18,30.72,14.98,0.25,57.7,21.91,0.59,0.37201249999999997
23.24,32.05,16.24,0.05,54.22,24.48,0.59,0.38101874999999996
23.0,31.04,15.52,0.09,52.09,23.27,0.59,0.39002499999999996
22.35,30.79,16.25,0.76,58.86,20.81,0.59,0.39903125
21.27,28.95,16.27,4.48,70.78,19.89,0.59,0.4080375
20.89,27.27,16.96,4.06,73.03,17.42,0.6,0.41704375
21.16,28.66,16.12,1.79,65.83,20.15,0.6,0.42605
21.21,28.98,15.15,0.51,65.52,22.53,0.6,0.43505625
21.6,29.12,15.64,1.91,66.83,17.16,0.6,0.44406249999999997
20.06,24.6,16.82,3.84,77.97,13.26,0.6,0.45306875
21.43,28.87,16.66,1.22,70.88,24.56,0.6,0.462075
21.39,28.69,16.44,2.44,70.8,17.1,0.6,0.47108125
21.27,29.04,15.82,1.25,68.81,20.53,0.6,0.4800875
20.96,28.13,16.13,8.56,74.06,13.29,0.6,0.48909375
20.14,26.4,16.14,17.53,76.9,10.22,0.64,0.4981
20.34,26.64,15.81,1.68,75.77,19.35,0.64,0.49126875
20.97,27.68,16.09,0.59,73.36,22.07,0.64,0.48443749999999997
21.48,28.27,16.38,0.15,71.55,22.47,0.63,0.47760625
21.32,27.86,16.68,1.69,75.62,19.28,0.63,0.470775
20.92,27.34,16.78,3.54,77.77,17.41,0.63,0.46394375
20.65,26.51,16.88,5.39,77.98,21.1,0.64,0.4571125
21.26,28.03,16.26,4.64,75.65,22.06,0.64,0.45028124999999997
21.21,27.26,17.02,5.24,77.21,19.57,0.64,0.44345
20.25,24.51,17.18,16.18,81.51,16.51,0.66,0.43661875
20.98,28.16,15.67,0.54,72.23,23.86,0.66,0.4297875
21.22,28.15,15.7,6.01,75.01,18.22,0.66,0.42295625
20.29,25.16,17.08,1.92,78.91,20.6,0.67,0.41612499999999997
20.97,27.21,16.3,1.75,76.48,22.26,0.66,0.40929375
21.15,27.32,16.54,0.75,73.72,19.05,0.66,0.40246249999999995
19.81,25.52,16.34,1.02,78.06,16.56,0.66,0.39563125
19.62,25.87,15.68,1.38,76.28,16.49,0.66,0.3888
19.66,26.34,14.58,0.37,73.2,21.13,0.66,0.3983
19.91,27.41,13.6,0.0,67.81,24.56,0.65,0.4078
20.18,27.84,13.46,0.01,68.98,24.27,0.65,0.41729999999999995
20.33,27.09,15.1,0.53,72.15,23.64,0.65,0.42679999999999996
19.83,27.97,13.42,0.11,64.59,26.81,0.64,0.43629999999999997
20.31,28.02,13.16,0.01,64.85,25.78,0.64,0.4458
20.21,27.14,15.23,0.75,73.3,23.98,0.64,0.4553
20.07,25.8,16.14,0.95,75.88,23.18,0.63,0.4648
20.56,27.63,15.53,0.82,73.62,24.3,0.63,0.47429999999999994
20.82,27.74,15.84,0.59,71.53,22.57,0.63,0.48379999999999995
21.39,29.26,15.49,0.08,66.61,23.8,0.63,0.49329999999999996
21.73,29.36,15.24,0.2,66.51,23.3,0.62,0.5027999999999999
21.46,28.52,16.06,0.19,68.98,22.77,0.62,0.5123
20.88,27.95,15.2,0.31,68.58,22.98,0.62,0.5217999999999999
20.56,27.49,15.52,1.17,72.82,21.97,0.62,0.5312999999999999
20.82,27.91,15.81,1.15,71.57,22.67,0.61,0.5408
20.36,27.23,16.09,5.74,75.99,14.51,0.61,0.5358214285714286
20.39,27.17,15.65,10.85,77.83,16.79,0.62,0.5308428571428571
19.84,25.45,16.92,14.87,81.17,18.3,0.64,0.5258642857142857
20.33,27.08,16.1,1.23,77.58,21.05,0.65,0.5208857142857143
20.69,27.95,16.02,1.72,77.46,20.13,0.65,0.5159071428571428
20.82,27.77,16.08,1.59,76.48,21.37,0.65,0.5109285714285714
20.76,27.56,16.4,1.19,74.95,21.0,0.65,0.50595
20.59,27.34,15.82,0.51,72.12,23.76,0.64,0.5009714285714285
20.51,27.77,14.79,0.14,69.84,23.94,0.64,0.4959928571428571
20.26,27.24,14.91,0.07,68.94,24.25,0.64,0.49101428571428574
20.43,28.55,13.6,0.01,64.06,25.02,0.63,0.4860357142857143
20.5,28.04,13.93,0.05,65.32,25.28,0.63,0.48105714285714285
20.85,28.35,14.07,0.1,67.79,24.08,0.63,0.47607857142857146
20.86,28.61,14.29,0.12,65.9,25.24,0.62,0.4711
